Tweet,For guns?,Location,For guns,Against guns,Makes no sense
School safety is but one failure of a venal Congress to undermine the social-economic survivability of young people:—I do hope the Trump presidency &amp; Columbine-to-Portland shootings have created a generation of versant activists that work for the common good. ,-2.0,"Westfield, NJ",0,0,1
"This. I  don't want the 2nd amendment gone at all. I  dont want all guns gone. Just sensible gun control. No bump stocks,  no military style, background checks, waiting periods, and an age limit. A buy back program, it works in other countries! ",0.0,"Washington, USA",0,1,0
@teemcee @DwyaneWade @carmeloanthony Please tell me why we have the strictest gun laws in our history but only in the last 30 yrs have we had these major issues when the guns have been mostly unchanged....what’s changed?,1.0,"Florida, USA",1,0,0
@Politics_PR @LisaVanderpump Crap on cracker !! That’s a lot of guns !! Hurry !! Destroy all those guns 🧐!!,0.0,"Lake Worth, FL",0,1,0
How My Playcousin Stopped a Mass Shooting and Disproved the Myth about Good Guys With Guns  via @TheRoot,-2.0,"St Louis, MO",0,0,1
@DLoesch Kurt would like to talk. ,-2.0,"Minnesota, USA",0,0,1
"@Calroy333 @JBOfromSuwanee Cruz was also a “law abiding citizen” with no criminal record until he shot up his school, genius. Was his home life troubled? Yup. Was he mentally ill? Yup. Would the @NRA have freaked the fuck out if cops went there to confisc",-2.0,"Columbus, OH",0,0,1
If you are cruel to animals I say cut off their hands with a dinner fork! You are subhuman if u hurt animals! You deserve nothing but a ton of pain. ,-2.0,"East Lake, FL",0,0,1
@TomiLahren Is this why we are for gun laws ?.,0.0,"Dubuque, IA",0,1,0
"This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire.  Im blocked ~ Kurt Eichenwald",0.0,"Whitewater, WI",0,1,0
@Shareblue @Resistnow30 Steve Pearce should sit down and shut up! The absolute ridiculous nonsense that comes out of his mouth is amazing! I’m tired of the malarkey and fear mongering coming from the mouths of Republicans! Voters get real no one wants all,-2.0,"Webster Groves, MO",0,0,1
@Education4Libs So do drug overdoses!   More than being killed by guns and car accidents.,1.0,"Los Angeles, CA",1,0,0
"Hey, Ross, can you get me a ticket?
A-hole.
#MAGA2018 ",-2.0,"Lauderhill, FL",0,0,1
Maybe there’s a thing called the 2nd amendment and that gun control doesn’t work bc look at Chicago ,1.0,"La Mirada, CA",1,0,0
"I'm guilty of this, so please don't take it as judgement. However, I've been thinking what a profound ministry it would be if, instead of focusing on gun rights after a tragedy, all Christians acknowledged total depravity and preached salvation by grace through faith in Christ.",-2.0,"Texas, USA",0,0,1
"@DLoesch This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backf",0.0,"California, USA",0,1,0
"@GottliebShow As a @DavidsonMBB grad, I think many underestimate how good these one bid leagues are, especially for teams like MTSU.  It's like Duke in the Acc everbody guns for you.",-2.0,"Charlotte, NC",0,0,1
Is this how Hitler started? @RealJamesWoods @RealOmarNavarro @RealErinCruz @therealroseanne @mitchellvii @DavidWohl @JacobAWohl ,-2.0,"Tampa, FL",0,0,1
Is this how Hitler started? @Cernovich @JackPosobiec ,-2.0,"Tampa, FL",0,0,1
@ThomasWictor @MsTriaI @almostjingo @GOPPollAnalyst Seriously ? ,-2.0,"Tampa, FL",0,0,1
__ ,-2.0,"Pretty Bayou, FL",0,0,1
Please read history. I can’t help you learn if you do not. ,-2.0,"Decatur, AL",0,0,1
"Proud member of the NRA, Trump Train and Basket of Deplorables😆 ",-2.0,"North Carolina, USA",0,0,1
"Between Gun Violence &amp; #MeToo, you have to wonder how long before Hollywood Goes ALL Puritan &amp; Gun Free? Actresses will be dressed like Victorian Dolls. Guns &amp; violence will be strickly prohibited. #DaylightSavings",-2.0,"Virginia, USA",0,0,1
Sweeeeet!! Hot Drunk Chicks r just laying around. Like some people think that guns are just lying around about to be picked up.  Only the first one seems true ,0.0,"Evans, CO",0,1,0
"Oh shut UP, they were terrorized &amp; watched their classmates get murdered at school. Did you have this same outrage when white supremacists were marching through Charleston last year with LITERAL SWASTIKAS on their arms??? ",0.0,"Kent, OH",0,1,0
We must stand together on the right side of history. ,-2.0,"San Jose, CA",0,0,1
"Part of me says: “you have to work in a college city to be a great college director. “
The other part of me says “hey. Why not just move into the Rocky Mountains in a log cabin with skis, a Jeep, your guns, and fishing equipment to live like you’ve imagined?” 
Me: “hell yeah!..?”",-2.0,"Ohio, USA",0,0,1
"I agree. First things first, my dog and I wouldn’t remain roommates.  He needs help before he hurts someone or something else ",-2.0,"North Carolina, USA",0,0,1
"@njh2005 @NRA Because I watch NRA leaders like Wayne LaPierre call for more guns after each new shooting, while his organization lobbies against ANY common sense restrictions. If you can't see that, you're hopelessly blind.",0.0,"Franklin, MA",0,1,0
"@lauren_hoggs @davidhogg111 Aww, look at that - arm bands just like the Hitler youth. Interesting fact - Hitler used children to take guns out of the #German #Citizens #Hands. ",0.0,"San Diego, CA",0,1,0
"@BernieSanders Fight back Arizona lead our country never to give up our guns. Bernie Sanders told us fight, fight and fight harder.",1.0,"Wayne, NJ",1,0,0
@realDonaldTrump  You can not take away the gun rights of a 18 year old!! If you can get your ass shot off in the military you can damn sure buy a gun. Please reconsider. It’s a mental health issue not age.,1.0,"Manassas, VA",1,0,0
"@thelongversion @GotchYaSon @BuzzFeedNews B U L L S H I T.

The NRA is the main reason there are over 300 million firearms in the US.  Without their PROPAGANDA of creating nonexistent BOGEYMEN there would probably be less than 100 million firearms i",0.0,"Marlboro, NJ",0,1,0
"@realMatMolina How TN conservatives seem to interpret this platform:
•War on Christianity
•War on heterosexuality
•Reverse racism
•Babies should only die after birth &amp; only if their parents are poor
•MOAR GUNS!!!
•You socialist commi",-2.0,"Tennessee, USA",0,0,1
u kno what else stops a beating heart? gUnS 🙃 ,0.0,"Sacramento, CA",0,1,0
What ,-2.0,"Austin, TX",0,0,1
Army Infantry soldier/Veteran. I support your rights and opinions. ,-2.0,"Olathe, KS",0,0,1
35 teachers in my district just lost their jobs due to lack of state funding. Can’t wait to see if Illinois finds money for guns guns guns. ,0.0,"Yorkville, IL",0,1,0
Someone should check on Ross and make sure he's OK. ,-2.0,"San Marino, CA",0,0,1
Sali Hughes &amp; Jo Jones | Beauty Banks  ,-2.0,"Manhattan, NY",0,0,1
"LOL a protest while everyone is at work, at 10 in the morning, outside @SenToomey ’s office demanding all semi auto firearms be banned, including all pistols.

Can think of a billion things more productive to do with my time. @ChrisLoesch @DLoesch ",1.0,"Fishtown, Philadelphia",1,0,0
"Last time I checked my PTSD doesn’t make me someone who has an uncontrollable urge to create hostage situations and murder people but ¯\_(ツ)_/¯ 
We need gun control but need to stop saying that all mentally ill people are natural monsters ",0.0,"Boston, MA",0,1,0
"@RealJamesWoods It would be CIVIL WAR. The dems think that they could get rid of President Trump,
By impeachment.  75 million mad patriots with Guns, leaves a mark. Only 3% of the population fought in the Revolution vs England.  Just try to remove him.",-2.0,"Lakewood, CO",0,0,1
"@reviewjournal I assume the guns were not registered or possibly stolen?  But not enough info, on a major talking point here by @reviewjournal There’s obviously more to the story.",-2.0,"Las Vegas, NV",0,0,1
@elephanthound I worked with mentally ill adults. Gun laws are desperately needed. Start with all the mentally ill Trumps...,0.0,"Chicago, IL",0,1,0
"@rakurai_network Smash had snake who guns people down, smoked cigs and other things but goku doesn’t fit smash?",-2.0,"Kendall West, FL",0,0,1
"Can anyone be more ignorant of facts and reality? Don't think so. When you see the world through a black-victimhood prism, you embarrass yourself thinking anyone will take you seriously. ",-2.0,"Los Angeles, CA",0,0,1
The wisdom of youth. ,-2.0,"Portland, OR",0,0,1
@EastCincyMom @cameraNbrush @LoveEachother14 @JoeDodd16 @DLoesch Surprise Suprise. Even when I can show you a place in America under current gun laws where the exact opposite of your arguments occurs &amp; you still don't like it.,-2.0,"Sacramento, CA",0,0,1
"@JamesDoss50 @Thomas1774Paine @Chadwick_Moore @GerberKawasaki Shut it Joseph Goebbels! Who exactly is “we” when describing your anti-American tactics? You should worry about your own business; those of us who strive to MAGA can spot weak, worthless p*ssie",-2.0,"Neptune Beach, FL",0,0,1
"@DailyMail That means we expect 2have murder rate escalating in that state, since it seems that everyone has guns:media should keep their eyes wide open! Perhaps stake out for breaking news @CNN @cvpayne @HARRISFAULKNER @ABC @AndrewCMcCarthy @AnnCoulter @",-2.0,"Manville, NJ",0,0,1
@vs_cointelpro Also to go protest out of school for gun control. One word: Idiot!,-2.0,"Utah, USA",0,0,1
@MervynRandall @TheAliceSmith And foreigners are constantly telling us ugly Americans to get rid of our firearms. Nope...,-2.0,"Islip, NY",0,0,1
"Swords In a gunfight ain’t so bad, so I feel as though this movie might have been the biggest inspiration for Austin powers ",-2.0,"Chicago, IL",0,0,1
"Didn't @realDonaldTrump promise to take swift ACTION to enact new gun safety laws? Hoping this will be honored soon - - great to see him spending time on ""related"" items such as the impact of video games on violence lol Sounds like something @DLoesch would suggest #NeverAgain ",0.0,"Delray Beach, FL",0,1,0
"Want to have your say on gun control, legalizing marijuana, or the opioid crisis? They're all on… ",-2.0,"Chicago, IL",0,0,1
@Krys @SheAteTheBone I just want Phos double guns with smashed up arms dangit,-2.0,"Little Falls, NJ",0,0,1
@ays66683 @Alyssa_Milano There was an armed officer at the Florida school so having an armed officer wasn’t the answer when someone has an assault rifle. So it wasn’t a gun free zone. The answer is a gun problem is not more guns but limiting the type and ,0.0,"Merrick, NY",0,1,0
Lamb opposes a min wage increase &amp; is pro-guns. I hope he loses. ,0.0,"Darby, PA",0,1,0
Oh.  I can tell your afraid of losing your guns.  May I suggest you shove them up your ass.  Keep yourself n the NRA in check.   Your a fool to try to comfort someone who’s lost a child ,0.0,"Baltimore, MD",0,1,0
Gotta run to toys r us to take advantage of the closing down deals they have and cop all the nerf guns my parents would never buy me as a kid,-2.0,"South El Monte, CA",0,0,1
Guns. ,-2.0,"Baltimore, MD",0,0,1
@SecretaryZinke corrupt as the day is long. Hope the door whacks the bejesus out of you - you know that thing you cling to when it's convenient. Like your guns &amp; the Bible... ,0.0,"Boca Raton, FL",0,1,0
"All 2017 everybody make false accusations, radio personalities starting unnecessary wars people commenting and switching up on @NICKIMINAJ  so in 2018 I’m fully blasting guns blazing 🔫 Nicki will remain The best to do this rap shit and y’all will bow 🙇‍♀️ 👑 with respect ",-2.0,"New Hudson, MI",0,0,1
"I think anyone that abuses an animal should get the same sentence they would get for abusing a child. I am so angry that so many get a slap on the hand for this. Can you imagine what that poor little Yorkie went through, and the fear it must have felt😘. ",-2.0,"Moriches, NY",0,0,1
@TIME Playing with guns are fun! Dumb parents!,0.0,"Danville, CA",0,1,0
@Mr_Que_ Because THAT doesn’t work! Your idea is exactly for what the @NRA is hoping! We need to #organise #March4OurLives #RegisterToVote #VoteThemOut Then there’d be time for Ice Cream when Americans are safe from guns. @cameron_kasky @davidhogg111 @AMa,-2.0,"Connecticut, USA",0,0,1
#flipthe7th ,-2.0,"Virginia, USA",0,0,1
@EmilyDamiano91 Pro gun control!  Not anti-gun!,0.0,"Carlisle, PA",0,1,0
"Nevada County's Indivisible Women listening to Amanda Wilcox talk about the loss of her daughter to gun violence in 2001. On average, 96 people per day are lost to gun violence in America. We need common sense gun safety laws. We need elected officials who care about this issue. ",0.0,"Grass Valley, CA",0,1,0
“Calm down... nobody is trying to take your guns.” ,1.0,"Middletown, CT",1,0,0
"if the government isn't gonna do something about guns, then can they at least do something about daylight savings time",-2.0,"Addison, IL",0,0,1
Too bad joy doesn't appreciate all history. ,-2.0,"Mariano Colón, USA",0,0,1
@Obscurus_Lupa They also seem to keep guns in the water that can still work somehow.,-2.0,"Kentucky, USA",0,0,1
"My thoughts: I don’t oppose raising the age for purchasing guns of any kind to 21. However, if we do this, the military needs to raise the enlistment age and the voting age to 21 as well. Not old enough to buy a gun=not old enough to serve or vote.",0.0,"Louisiana, USA",0,1,0
Reversing climate change. Protection for Dreamers. Expansion of the ACA. A tax code that benefits the 98%. Common sense guns laws. An end to police brutality. Everything that you are not. ,1.0,"Ashland, OR",1,0,0
"@RealJamesWoods @madd I admire your dedication to animals Mr. Woods.  It shows me you have a conscience.  I wish you would support gun control also, so each year we wouldn’t have to bury so many people, especially children, who die as a result of gun viol",1.0,"Mathis, TX",1,0,0
Hey @DLoesch . Kurt's misses you. I don't know why. I wish for the day she is no longer in the public eye. ,-2.0,"Fargo, ND",0,0,1
@MattsIdeaShop Gun control uber alles!,-2.0,"Yucaipa, CA",0,0,1
"@RealMuckmaker @Solutioneer72 @CNN Not Students, but still HUMAN, Age,heritage,skin color,religion- does not matter! Every family, state, person sue NRA for home grown terrorism, Lawmakers that support their guns and don;t pass gun violence laws, make the",0.0,"Ohio, USA",0,1,0
@CloydRivers Remember when you used to post funny shits about beer and guns? I can follow Fox News for this. Stay out of the politics man.,-2.0,"Florida, USA",0,0,1
@Liz_Wheeler No gun control is necessary,1.0,"Texas, USA",1,0,0
"@plaqtini @KamalaHarris Banning guns works really well. Chicago has banned guns also. you have me mixed up I never mentioned mental health. Don’t debate the second amendment with me, try the Supreme Court.",0.0,"Solvang, CA",0,1,0
@CloydRivers Remember when you used to post funny shits about beer and guns? I can follow Fox News for this. Stay out of the politic man.,-2.0,"Florida, USA",0,0,1
"Joy is scary stupid. No mention of black on black murder with firearms in Chicago, NOLA and St. Louis. Are they shooting up scary brown people, or people who are victims of crime &amp; gang violence with innocents as collateral damage? ",-2.0,"Los Angeles, CA",0,0,1
Focus on changing the ignorant minds who feel the need guns an assault rifles.   You cowards. We’re sick of you living in denial.    Guns Kill People an innocent children ,0.0,"Baltimore, MD",0,1,0
@JeremyBlair_ I don't talk about guns,-2.0,"Greenville, OH",0,0,1
"What’s it matter?.. #Obama tried diplomacy and ingenuity on multiple fronts and people called him weak for it… you win, you all win, all you #nra and #trump supporters who want your precious guns so bad.. buy em all and point em at each other for all I care, nobody wants change. ",0.0,"Easley, SC",0,1,0
@DLoesch ,-2.0,"Kenai, AK",0,0,1
"Far better to spend limited funds on improvements that enhance the current  facilities for teachers and children and HVAC/building projects that would improve student/teacher health, even basic projects such as ensuring quality water sources. ",-2.0,"Michigan, USA",0,0,1
"How many guns does @DLoesch need to feel safe enough to not block @kurteichenwald ?
At least one more, apparently.",-2.0,"Aliso Viejo, CA",0,0,1
@RealJamesWoods I say an #animalabuser should have the same thing he did to the dog done to him.  #animalcruelty laws r not strong enough.  Absolutely put him on the #domesticabuse no firearms listed.,-2.0,United States,0,0,1
Florida is getting sued for raising the age of purchase of guns.I agree with them but that's not what the constitution says and the NRA is going to win it will be settled out of  was a stupid move (Florida) you can't win that law is dropped.,0.0,"Tuscaloosa, AL",0,1,0
@cnnbrk HELLO THE REPUBLAINS ARE GOING TOO WIN ON TUEDAY BECAISE WE ARE KEEPING GUNS AND THE NRA ALSO THEY ARE STAYING FOR GOOD IN WASGTON DC,1.0,"Brighton, NY",1,0,0
"Can someone explain to this IDIOT that
1. Nazis are not the only not ones who wore armbands and
2. National Socialism =/= Socialism ",-2.0,"North Ogden, UT",0,0,1
"#NRAIsATerroristOrganization 
#NRABloodMoney ",0.0,"Berea, KY",0,1,0
@cnnbrk HELLO WE NEED GUNS IN SCHOOLS ALSO FOR TEACHERS SOO THEY CAN CARRY THEM AROUND TOO BE SAFE ALSO THIS IS A GOOD THING TOO DOO,1.0,"Brighton, NY",1,0,0
So if there were no guns would anyone get shot?,0.0,"Indiana, USA",0,1,0
Indeed ,-2.0,"Lake Charles, LA",0,0,1
@DLoesch why'd you block @kurteichenwald? ,-2.0,"West Virginia, USA",0,0,1
#JOINTHENRATODAY ,1.0,"Texas, USA",1,0,0
Wanna see everyone walk out. I might walk out of work ,-2.0,"East Perrine, FL",0,0,1
When the school board asks the teachers if they’d want to be allowed to carry guns to school and the lowkey savage teacher speaks up ,-2.0,"Houston, TX",0,0,1
That look when Trump  rednecks realize they always had their guns but they lost their food stamps and and Healthcare ,-2.0,"Greensboro, NC",0,0,1
@DLoesch snowflake ,-2.0,"Mount Prospect, IL",0,0,1
"Wants guns banned, wears armbands, looks like a fuckin twat. Hitler did the same thing ",1.0,"Gainesville, FL",1,0,0
From 2/15/18. How many people would be alive today if we had listened—and acted.  IT’S THE GUNS! ,0.0,"North Highlands, CA",0,1,0
@doctorschmitty @mnrothbard What gov propaganda? And I've told you my argument about guns and specifically assault rifles. Now we're just running around in circles.,-2.0,"Las Vegas, NV",0,0,1
 Kinda ironic YouTube bans gun safety videos and a few weeks later well... you know. ,-2.0, Georgia ,0,0,1
" I’ve noticed a lot of democrats winning seats against incumbent republicans and this is good because when democrats control congress and the sentate again, real legislation  can get passed. especially with gun control ",0.0, New York ,0,1,0
 Not to use this tragedy as a platform but maybe not EVERYONE should have access to a gun... https://t.co/qc0B921VVK ,0.0, Florida ,0,1,0
 ion even wanna see your gun if you ain’t poppin b ,-2.0, Georgia ,0,0,1
 @hrenee80 @GrizzleMeister Indeed Heather:. So many gun haters with money have bodyguards.. we’ll see if the day ever comes to take our guns how fast those bodyguards jump ship.. ,1.0, Ohio ,1,0,0
 @SpeakerRyan it’s time for a vote! Universal Background Checks for all gun purchases of which 90% of Americans support including hard working NRA members. Please bring to the floor. It’s time! #NeverAgain #EnoughIsEnough @AMarch4OurLives ,0.0, California ,0,1,0
 Im bout to cop a gun n walk around strapped with all this shooting stuff going on hell nah it's wild ,-2.0, Florida ,0,0,1
" @SenFeinstein So, how did this women get a gun in the State of California? Strictest laws in the nation? It’s not the weapon, it’s the person. #supportNRA ",1.0, California ,1,0,0
 Good thing they have a gun ban and REAL gun control. https://t.co/krfuwCgnhB ,0.0, Florida ,0,1,0
" @Ohfairmaiden @BallingerMom Gun ownership is high in Switzerland, at approximately .5 guns per person. About 30% of Swiss citizens own guns. Military issued firearms may be purchased from the government after service. Yet, firearm related crimes per-capita are low. ",1.0, Oregon ,1,0,0
" Not looking to get into a debate/argument with anyone, just stating my opinion here: thoughts &amp; prayers stopped being enough a long time ago in situations of gun violence. We need powerful &amp; effective change. Now. ",0.0, Indiana ,0,1,0
" ""Florida cities sue state over right to regulate guns..."" https://t.co/Wowuh6wKzk via @DrudgeReader ",0.0, California ,0,1,0
 @jackKrei @Gonzobaggins @Monty4x4 @summer7570 @DLoesch Diane Feinstein’s pro gun message by George Washington https://t.co/UDaEwIFfra ,1.0, New York ,1,0,0
 @HouseCracka @GGthinking How about the irony of #YouTube HQ no gun zone and ban conservative videos using guns! #Liberals ,-2.0, Colorado ,0,0,1
" Okay, okay, I’m legitimately impressed by this no-longer-mythical, however statistically unlikely, good-guy-with-a-gun. https://t.co/gFYDSSZGla ",1.0, Washington ,1,0,0
 ?? https://t.co/M29AliXqUh ,-2.0, Ohio ,0,0,1
" @RunADZ_ Heck yea,she will ride u to death while smoking weed and waving a gun ",-2.0, California ,0,0,1
 @Education4Libs It just shows them to be fools for their beliefs that Gun Free Everything is much better for their safety. Ridiculous.... ,1.0, Louisiana ,1,0,0
" @dangercusmatt @jaraybrooks @JBrooks191 @ShafPatel @realDonaldTrump @GOP @NRA The biggest cause of death is abortions! Look it up! US Death Statistics. Liberals want to keep sending taxpayers money to planned Parenthood. It’s a woman’s choice, they say. Well it’s my choice to own a gun. Not my choice to fund abortions. ",1.0, Washington ,1,0,0
" Go @Deerfield_IL ?????? I hope 1 by 1 all neighboring towns, villages, and cities follow. #CommonSenseGunLaws https://t.co/V5XbNNa01Q ",0.0, Illinois ,0,1,0
" Youtube Shooting Witness: “I Didn’t Have A Gun On Me, Wish I Did” https://t.co/TO34biFXoB via @weaselzippers #Sayfie ",1.0, Florida ,1,0,0
 The simplest summation of the issue.  #NRAIsATerroristOrganization #GunControl #resist https://t.co/6FXFDz9eyg ,0.0, Hawaii ,0,1,0
" To those at @YouTube #YouTubeHQ &amp; everyone thats been through situations of gun violence, we will make a change for the better. For a brighter &amp; safer future. We are with you. ",0.0, Indiana ,0,1,0
" @NinaCruzShow Meanwhile other teens are changing the world and taking on gun reform. Kids are just like adults, some are dumb, and some are smart, most are somewhere in the middle.  Don’t let the extremely bad, make you forget the extremely good. ",1.0, Arizona ,1,0,0
" @OUtofcatlett Yea, having to store your guy like a responsible gun owner won’t go well, but people getting shot in their schools, churches, and workplaces is going over well for gun owners? ",0.0, Oklahoma ,0,1,0
" @thecatcompany @Jlnaegely @ZackGo55 @JonClem310 @CNN No, they are called semi-automatic rifles.  They shoot 1 bullet when you pull the trigger 1 time. ",-2.0, Indiana ,0,0,1
 You ever have a really good gun for someone but you don't know them well enough to say it so you hold it in and feel it eat away at your soul because you know it'd be super funny if you could just say it??? Bc same ,-2.0, New Jersey ,0,0,1
" The great thing anti gunners don't get is this crazy lady that shot up the place, used a handgun since it's harder to get a rifle in California. So now will they admit they want a gun ban? #youtubeshooter ",1.0, Arizona ,1,0,0
 LMFAO taking away people’s firearms isn’t the solution as of RN. There needs to be some kind of change to see if there are positive or negative improvements. And...where’s the pregnant woman’s baby daddy to protect her? How many pregnant woman keep a handgun in their back pocket? https://t.co/J9kWemVpGB ,1.0, Florida ,1,0,0
 @kaitlinefree Just don't use chapstick for a stun gun ,-2.0, California ,0,0,1
 Some got a radar gun I can borrow  and I’ll give it back as soon as I finish using it lol ,-2.0, Texas ,0,0,1
 This tweet makes it seem like gun violence is a good thing https://t.co/xERNO2p1Ge ,-2.0, Delaware ,0,0,1
" So, what’s the procedure when you have a gun to your head? What’s the fucking procedure when you have a gun to your head? ??? ",1.0, Florida ,1,0,0
 I support immediate action on gun safety reform. Join me: https://t.co/l6PjsK8Sfr ,0.0, Florida ,0,1,0
 @realDonaldTrump Protect us from gun violence. Protect us from the Russians. Protect us from the North Koreans. Protect us from you and your corrupt family. Moron. ,0.0, Virginia ,0,1,0
 Maybe now tech companies will get off the fence and act on gun violence. They have the power to outspend the NRA on campaign finance by orders of magnitude. ,-2.0, California ,0,0,1
" Last week, a young woman who I knew since kindergarten and went to HS with, was shot and killed while she was 7 months pregnant. Tonight, I am learning of a shooting at YouTube HQ. When will all this gun violence end? ? ",0.0, Pennsylvania ,0,1,0
 Cali has the nation’s strictest gun laws but shootings still happen like today. gun laws won’t fix everything. ,1.0, Ohio ,1,0,0
 Why does every gun nut out there say they “love the constitution” as if being opposed to guns somehow means ur opposed to America lol ,0.0, Louisiana ,0,1,0
" @markylikespie @BenPower78 @compliancedivis @TrippettaRaffe @AnaHotko @Emma4Change Background checks! Healthy people who need medication to maintain mental health shouldn't be able to buy guns. If diagnosed w/any condition on ""Timothy's Law"" you shouldnt be allowed to buy a gun even healthy by successful med treatment no matter if you're a nun or Pre-K teacher. ",0.0, California ,0,1,0
" We’re cleaning @taylorgarca_ room and I’m not sure if it’s a good thing or bad thing, when I ask her “what do we do with your blowdart gun”.  She answers “ gotta keep that” ..thanks  @_LukeCalvery ",-2.0, Texas ,0,0,1
" The @NRA has blood on their hands once again. Instead of managing gun licensing appropriately, they are putting guns into the hands of the mentally unstable. They do this so they can collect their monthly dues. This is American Greed at its finest. ",0.0, Texas ,0,1,0
 @Mr_Pinko @BamaReb56 @CollinRugg They edited his comment NBC didn't say he wished he had a gun .. Lying in south Florida in Miami area.. Just wanted to share with conservative people.. ,-2.0, Florida ,0,0,1
 @RealJamesWoods So car fatalities exceed gun fatalities by a factor of 3 to 1. We should therefore get rid of cars before we get rid of guns! ,1.0, Arizona ,1,0,0
" @NMPGVnow @SUPGVNetwork @EndNRA @CSGV @DamonForNM @SFPSdistrict Seems self destructive if rejecting money for the air rifle team, which teaches that traditional gun safety and marksmanship is important whereas idiotic pronouncements from wayne lapierre and dana loesch should be ignored. @NRA @DrCrifasi @DanielWWebster1 ",-2.0, New Mexico ,0,0,1
 @michaelianblack This proves that a hand gun didn’t mow down many. shot 3 that survived yes a tragedy but not a massacre if she had an AR-15 many would have died like the other shootings ,-2.0, Illinois ,0,0,1
" @proud_resist @davidhogg111 @kelliump Thats right David! We are with you, not going ANYWHERE! (will be going to vote the gun nuts out tho) ? ",0.0, Minnesota ,0,1,0
" Trump offered thoughts &amp; prayers to the victims of the You tube shooting. Please, this is another gun shooting. If the gun was not there nobody would be dead. #banguns ",0.0, Maryland ,0,1,0
" @michellemalkin I thought it was a trans white male, NRA gun toting, Bible thumping, conservative!  I heard it on CNN.  It’s the truth ",-2.0, Florida ,0,0,1
" @MarkDice Lol , what’s sad and frustrating is that the left is still going to blame the NRA and law abiding gun owners. What’s even worse is that ignorant and small minded Americans will ignore the facts of this shooting and continue to repeat the lies of the left. I’m tired of the BS. ",1.0, Florida ,1,0,0
" Florida = self absorbed women, retarded niggas, white people with loose gun laws, Hispanics that think their black. I’m not making this up ",-2.0, Florida ,0,0,1
 Looks like u got ur wish NRA.  America: u ok with wishes and results to wishes like this? https://t.co/m895L4w5QR ,0.0, New Jersey ,0,1,0
" @danky_booce @gubatron @BridgetteWest @Lyricoldrap @YouTube I just saw, let the gun blame game begin ",1.0, Indiana ,1,0,0
 @_shinobipam Smfh niggas love doing dumb shit cus if u don’t know how to handle a gun why is u trying ,-2.0, New York ,0,0,1
" @Spacekatgal @NRA Hello I am a real person who is opposed gun control, thanks! ",1.0, Texas ,1,0,0
 I will save the Gun Owners Party time as they are busy checking their checking accounts for their monthly NRA deposit. “Thoughts and Prayers “ https://t.co/YU9ygPiCFL ,0.0, Delaware ,0,1,0
 @Romans56thru8 @DennisRadcliff3 @keepwhistling @LuvMultimedia @NRATV The point is that a 5 year old can (and do) kill people easily with a gun.  A scrawny teenager can easily do a mass murder.  There’s a reason Marines use guns.  Let’s not conflate the two. ,0.0, Pennsylvania ,0,1,0
 I'm not a big gun guy but these dueling pistols were beautiful.… https://t.co/WWeJb6ndvw ,-2.0, New York ,0,0,1
" @zwip778 @gamblinflanagan @MattxRed @davidhogg111 Yes. However, when the fbi shows up, what are the odds it'll do any good? 2a folx like to talk tough, but aren't the people the cops want to shoot. ",0.0, California ,0,1,0
 Mental illness is not the problem in gun violence. Mentally ill should have guns. Those who have a history of violence or violent references should be denied guns. There are signs that someone will be violent. ,0.0, New York ,0,1,0
" @JaclynCorin Love the Vote stickers! With our votes, perhaps we can do something more than clear backpacks to address the gun addiction in America. ",0.0, Florida ,0,1,0
" Terrorism isn’t the only thing that involves gun violence it’s getting shot on the street, a child accidentally shooting his sister or himself with a gun laying on the counter. And 4,800 households out of 126 million is not even close to 1%. A extremely uncommon situation https://t.co/lGPJnZECgQ ",0.0, Florida ,0,1,0
 @JonathanMerritt I love my fire arms.I will fight to keep them no matter what. ,1.0, Virginia ,1,0,0
 Shoot them if they break the law we would terrorists https://t.co/JhROevgY8q ,-2.0, Virginia ,0,0,1
" @Emma4Change @MikeBloomberg Background checks! Healthy people who need medication to maintain mental health shouldn't be able to buy guns. If diagnosed w/any condition on ""Timothy's Law"" you shouldn't be allowed to buy a gun even healthy by successful med treatment no matter if you are a nun. ",0.0, California ,0,1,0
 @rdcaccavale @larryelder Humorous how a bunch of teens has so many adults actually concerned. Then again those fearing confiscation of their firearms are also applauding Trump's misguided announcement that he's sending the military to the border. ,0.0, Massachusetts ,0,1,0
 ? The adults better step up pretty quick and take charge ?‍♀️ before the #1stResponders are neutered and under siege themselves #CA ?‍♀️ ? https://t.co/nVc7oZ3Ax8 ,-2.0, Michigan ,0,0,1
 Those who show signs of gun violence before it happens must be reported to the police. However you can have a mental illness and not be violent. So I think those with a mental illness who are not violent and have no history of violence should have guns. ,1.0, New York ,1,0,0
" Thanks Dems , U incresed sales with anti-gun takk. We will fire U soon https://t.co/RSJaOVhDRP ",1.0, Tennessee ,1,0,0
 Absolutely sick NRA https://t.co/zwBkkC1yWP ,0.0, Florida ,0,1,0
 I’m laurens favorite shot gun rider? ,-2.0, Texas ,0,0,1
