Tweet,For guns?,Location
@eighyfourbasta1 @rallypoint1911 Today's high school students are being taught by liberal minded teachers that guns are the problem not the person holding it.,-2,"Norfolk, NE"
"@davidhogg111 Brilliant!
I cannot agree more. That’s how America grows, get real and think pro. Stick by laws and improve the quality of life for all. You wanna bear arms, it’s your right. Register your guns, get licensed and pay your share.",-2,"Milton, MA"
"@RyanAFournier Actually, I have no idea what God has to do with guns, but yes I do believe that guns are the problem.",-2,"Edmond, OK"
@TheDemocrats @GOP Both sides should be ashamed putting guns ahead of the children of this country #specialinterest #lobbyists if you are a politician and we’re paid off by the @NRA you should be ashamed,-2,"Staten Island, NY"
"@SenGillibrand yeah, tell me this is about school security! You Marxists are exploiting these useful idiots in order to further your political agenda. Disgraceful! ",-2,"New York, USA"
Say it louder sis📢 stop trying to blame school safety as the problem. Make these kids feel wanted and love and maybe the problem would be fixed ,-2,"Martinez, GA"
"@EnoughProject U have taken GOD out of the classroom, U have joined the culture of death, people use guns! guns are inert learn from CHICAGO",-2,"Pembroke Pines, FL"
@GOP @POTUS School Safety? Maybe look at BULLYING. That caused this. Not guns- BULLIES.,-2,"Tillmans Corner, AL"
@GeorgeGjuddauto @capriotti97 @CarlRayLouk @sharebear817 @ChrisEvans @GOP That’s a very unintelligent argument when the movement is about the type of gun available. I understand that people are bad not the guns. But it’s common fucking sense to not make guns that can allow for MASS MURDERS readily available to the bad guy!,-2,"Florida, USA"
This is leadership based on the will of people not power. ,-2,"Westerville, OH"
@Pr0ud2bAmerican @DanMcMonigle1 @SpartyBeck2 @Thedarkamerica @bbk2228 @pr0650 @Dirty_Diaz1965 @KimLeadford @davidhogg111 The likelihood of a psycho invading your home with a rifle with intent to harm and not just take your guns or tv is incredibly less likely than a mass shooting. These days. It is more likely that you would know the invader... do you know a lot of psychos with illegal rifles?,-2,"Oregon, USA"
Lmaoooooo no you’re not ,-2,"Orange, CT"
"The kids who protested today are brainwashed to take your guns once they are old enough to vote. If not through vote, they will outlive you and me and there will be no guns.",-2,"Chicago, IL"
"@MeghanMcCain on the View u said 2day is 1 of those days that u don’t think it’s ur turn 2 talk yet u cont talking 4 a while. Really! C’mon Meghan, be quiet 4 a change. &amp; no most people 4 better gun laws &amp; semi-auto taken off streets don’t think ur 4 gun violence #StupidComment",-2,"Los Angeles, CA"
"@loudlearning @rpondiscio @SteeleThoughts @Wes_Kieschnick @DavidGeurin @casas_jimmy @ToddWhitaker @jeffhiseredu @teacher2teacher @Jeff_Zoul Or even better- do both. Because the kids walking out aren't in to blaming the victims. They are focused on gun control, and your suggestion does nothing for the cause they are advocating for.",-2,"Ferndale, MI"
@Education4Libs @Kacy10000 Here’s what the shitheads don’t know-The blunt truth: The end goal of demoncat gun control/confiscation is to have unimpeded Access to rape your children with impunity- sorry if you disagree- look at the track record 😡😡😡😡 children includes teens,-2,"Tulsa, OK"
"this is where having guns in your home &amp; knowing how to use them would most certainly come in handy. 
be smart, learn how to protect yourself and your home ",-2,"Tennessee, USA"
"The NRA can control their own guns maybe, but they can’t control the youth and people of this country who are fed up!  #enough ",-2,"Yellow Springs, OH"
"@TheDemocrats @GOP Both sides should be ashamed putting guns ahead of the children of this country #specialinterest #lobbyists if you are a politician and we’re paid off by the @NRA you should be ashamed 
#NationalWalkoutDay",-2,"Staten Island, NY"
".@wfaa Maybe the students should be in class learning why we have a Bill of Rights, a Constitution, etc., But like children, they throw fits instead. Look at the meds these shooters take, not the guns. Limit speed of cars while ur at it, you drive too fast for my liking! SMH #2a",-2,"McKinney, TX"
"I just saw a girl wearing gun leggings and she was against gun control, how stupid can one be?",-2,"Ceres, CA"
1. How to solve any gun problems: make it a law that criminals can’t have guns,-2,"South Carolina, USA"
2. Whoops - forgot - there already are laws preventing criminals from having guns,-2,"South Carolina, USA"
Woke 8th graders? What a time we’re living in 👏 ,-2,"Idaho, USA"
@shannoncoulter Where we're all the walkouts at when thousands of black and Latino kids were killed with the same guns or when trevon martin was executed,-2,"Palmdale, CA"
"Hope, but I believe the 2nd Amendment allows the government to regulate gun ownership, including banning assault weapons ban. Do you, @jkeramaris, support #Assaultweaponsban? Yes or no, please. #nationalschoolwalkoutday ",-2,"Boston, MA"
"Durham School of The Arts students stood outside surrounding the school building, holding hands in memory of the lost students of the Florida shooting, and to protest against these gun laws, giving people of young age violent weapons. #GunContolNow  #GunControl #GunViolence ",-2,"Durham, NC"
i felt this on a personal level. ,-2,"Chicago, IL"
"There was never a Violent Gun but there are thousands of Violent People who get their hands on #guns to perform Violent Action. There are thousands of schools with little discipline, where kids are pampered and indoctrinated in Violent Behavior. No God nor Country in our schools. ",-2,"Montana, USA"
No thanks. Not interested in copying Europe or Australia in anything. ,-2,"Elk Plain, WA"
@Plantflowes @Jake_West_On_It @catttaylor @JaclynCorin What's an assault weapon? What specific ammo? You don't know squat about guns.,-2,"Texas, USA"
Please come out and join the Undergraduate Social Welfare Alliance (USWA) in the March for Our Lives. We will be marching in solidarity with the survivors of the Parkland shooting and advocating for stricter gun laws to hopefully prevent mass shootings on school campuses.,-2,"Brooklyn, NY"
If you take a moment and listen to what these future voters are walking out for is for stricter gun laws but the NRA spins this saying everyone wants to take your guns that’s how they get you on their side listen to your children not a billion$corporation,-2,"Peoria Heights, IL"
@davidharsanyi @LarkinWarren harder for well regulated militias to get guns,-2,"Manhattan, NY"
"Kids needs to focus on bulling, this does not help, when a child has trouble at home, 🏫 s. Should be a place to have friends and escape ",-2,"The Plains, OH"
"@selena_barber It’s not just an AR-15. Like fuck, open your eyes. Shot guns do more damage than an AR. My huntin rifle also has a bigger round. And it’s semi automatic. Is that an assault rifle also?",-2,"New York, USA"
"@angeliecs1 We have them to protect ourselves from tyranny. And when gun laws are proposed, it proves our point why we need them more than ever. The first thing for a tyranny is to confiscate guns. And not making them accessible will sure stop those law abiding criminals won’t it",-2,"California, USA"
"@2756Nana @YandisaMatsots3 @realDonaldTrump Ha! @ ass breath... you would be a connoisseur when it comes to that!  Not surprised! In regards to ur other comment, don't come at me with your garbage about repubs blocking anything ... especially after that piece of sh*t sold guns to the. Mex drug cartel... wake the hell up.",-2,"Manhattan, NY"
Banning guns won’t solve anything 🤷🏼‍♀️,-2,"Muncie, IN"
"You seem like a bright person. Ask yourself why there weren’t protests after LV shooting? Why the silence about shootings in Chicago, DC, and Baltimore? Gun free zones run by Democrats. These incidents run counter to the Liberal agenda. They prove gun-free zones don’t work. ",-2,"Richmond Hill, GA"
@SuzanneFlynnRN @Six5Creedmoor @Alynn7513 @RepTedDeutch Yes.  True.  If these guns get banned there is NO way you will be able to buy them.   They will just disappear.,-2,"New York, USA"
"*Muslim Terror Attack*
Republicans: Ban all Muslims from US
*White kid school Terror Attack*
General Public: Maybe we should have stricter gun laws

Republicans: ",-2,"Rancho Cucamonga, CA"
"So proud of everyone who joined us in the Wilson High School Walkout. It is time for change, we are the generation who demands it, and we will be the generation who puts an end to school shootings! ",-2,"Pennsylvania, USA"
"When you don't know anything about an issue, but feel entitled to lecture others on it: ",-2,"Texas, USA"
"I vote we get rid of people, not guns",-2,"Bound Brook, NJ"
@DLoesch @ILLfromMN Here’s what the sheriff stands for - The blunt truth: The end goal of demoncat gun control/confiscation is to have unimpeded Access to rape your children with impunity- sorry if you disagree- look at the track record 😡😡😡😡,-2,"Tulsa, OK"
"Well, we can either get used to stories like this, or fight back. Call your rep at all levels and tell them how you feel about teachers with guns. #NotOneMore #guns #CommonSenseGunLaws ",-2,"Washington, DC"
I don’t care much about guns. I just don’t want liberals to win. Liberal neurosis cannot dominate our culture or rule our people.,-2,"Chicago, IL"
And that’s why practically all of Europe is ruled by the EU &amp; UN and the countries don’t have much of their sovereignty. ,-2,"Milledgeville, GA"
"Hey John, Louisiana resident here. Care to do anything about gun control that kills thousands of humans as well? ",-2,"New Orleans, LA"
we’re gonna melt your guns and turn them into those heavy jackets you put on nervous dogs during thunderstorms ,-2,"Roeland Park, KS"
I swear to fucking god this is why we don’t want guns in our classrooms. Any teacher who wants a gun in their class really isn’t smart enough to be teaching. ,-2,"Nevada, USA"
Excellent point! ,-2,"Sun City Center, FL"
The kids who protested guns today by walking out of school  sounds like they're not getting the right education to start with,-2,"Virginia, USA"
"Congrats to the students for  #NationalWalkoutDay, now remember when it comes to voting time, we need you! Fuck those that don't address some sort of gun control.",-2,"Salt Lake City, UT"
This is what I’m talking about ,-2,"Bradford, RI"
That’s sad they were made leave class. ,-2,"North Augusta, SC"
“If all Registered firearms vanished gun violence would not cease.” ,-2,"Turlock, CA"
"So proud of everyone who joined us in the Wilson High School Walkout. It is time for change, we are the generation who demands it, and we will be the generation who puts an end to school shootings! #NeverAgain ",-2,"Pennsylvania, USA"
"Well, now we know why they wouldn’t let police stop the shootings. Don’t we. They traded the lives of 17 mostly kids for today’s “walkout”. ",-2,"Sherwood, AR"
School walkouts apparently aren’t enough for the government to take school shootings seriously?? ,-2,"South Carolina, USA"
"It's also really sad that it takes a gun threat at our school for us to take this more seriously, This has been happening for years now and no one has done anything to put an actual stop to it we need gun restrictions,high background checks, and to not give guns out so easily",-2,"San Leandro, CA"
"“They say the only way to stop a bad guy with a gun is a good guy with a gun, but that just sounds like someone trying to sell two guns.” — Student Sign in Michigan",-2,"Stoughton, WI"
"@realDonaldTrump Arming teachers is NOT the answer. It takes years to become an expert in tactical defensive shooting. There's simply no way to ensure teachers get that kind of training.

What we need are sensible gun reform laws, not making our schools the equivalent of armed prisons.",-2,"Layton, UT"
"Sadly these kids don’t realize this #NationalStudentWalkout is not about gun violence, it’s about gun control.  The left has an agenda. Remember, it was people with guns that rose up against a monarchy and gave us our freedoms. Speech will be next.",-2,"Greensboro, NC"
"It's posted on all Trump family business no guns or fire arms why? Just because he's a bullshit president and has the secret service protecting his family and son , etc let's do it for all schools and campuses in America and protect the students just like they are presidential",-2,"Texas, USA"
@honor_dennis @rhash0329 Hey kids this is what you’re promoting- The blunt truth: The end goal of demoncat gun control/confiscation is to have unimpeded Access to rape your children with impunity- sorry if you disagree- look at the track record 😡😡😡😡,-2,"Tulsa, OK"
"Now that the kids have marched for gun control and want the legal age change to buy one to 21 and some states already have, as a law abiding,permit carrying, adult I’m calling on Congress to change the legal age to vote to 21 also!",-2,"Tennessee, USA"
@1bigbeer The blunt truth: The end goal of demoncat gun control/confiscation is to have unimpeded Access to rape your children with impunity- sorry if you disagree- look at the track record 😡😡😡😡,-2,"Tulsa, OK"
@GeorgiaDirtRoad How much you want to bet his body guards carry guns?,-2,"Pennsylvania, USA"
@realDonaldTrump you heard what students are saying. They want schools not prisons. They want no guns in the schools just security. Remove all guns from the society. Only available to law enforcement,-2,"Brooklyn, NY"
People making SUCH a big deal about this student walk out. Shit... I’d walk out of class even though I still think we should have guns in this country 😂 getting a high schooler to leave class isn’t hard at all lmao,-2,"Virginia, USA"
The kids should do walk outs on the dates of every school shootings. Maybe people will start to remember how many school shootings there have been. Love your show@TheYoungTurks,-2,"Kernersville, NC"
"@GoodDisaster @MissRBaller u don’t get it. if people want guns. they are gonna get them. banning drugs didn’t work so how are banning guns gonna work??? i agree that something needs to be don’t but sadly, nothing is going to change this. u can’t recall everyone’s gun in america. america is too far off and",-2,"Long Beach, MS"
"NO #GUNS, NO #NRA! 
STOP the violence in the USA! .
.
.
#NeverAgain #NationalSchoolWalkoutDay #CounselorsNotCops #EducationNotIncarceration ",-2,"Denver, CO"
"Congrats to the students for  #NationalWalkoutDay, now remember when it comes to voting time, we need you! Fuck those that don't address some sort of gun control. Gun are designed to kill, that's there purpose, simple.",-2,"Salt Lake City, UT"
"@JamesPurefoy James in all seriousness what do u think all the gun violence in the movies and video games are doing to our youth, you  think that it doesn't influence those who are mentally unstable? How about banning guns in the movies too? Input please",-2,"Pennsylvania, USA"
"My mom always told me bad people get bad things like guns, they don’t listen to laws, you all know that!  Broward has blood on there hands not me! KIDS , grow up before you tell me what to do! ",-2,"Glendora, CA"
I have ZERO guns✌ ,-2,"Huron, OH"
"#NationalSchoolWalkout #NationalWalkoutDay #NationalStudentWalkout 
#weareturnerandperry #WBENC #womanowned #minorityowned ",-2,"Alexandria, LA"
Teenagers who text while driving kill more people than do teenagers with guns in schools. Let's raise the age at which you can have a cell phone to 21.,-2,"Mount Morris, NY"
@SenFeinstein No let's be clear! Americans want u and the rest of ur liberal goons to leave us and our guns the hell alone! I'm going to start a march and call it the (Voices of our founding fathers! Support our 2nd amendment rights!)U people can't get it. An unarmed society is a dead society,-2,"Pennsylvania, USA"
@ellievhall Do they know Bernie's terrible record on guns?  I am thinking not.,-2,"Washington, USA"
this picture smells like tobacco and expired mustard not gonna lie ,-2,"Newburgh, IN"
Schumer to school kids “were gonna win” then Remove the Responsable FBI that did nothing to stop Cruz. Remove the Liberal (Monitor “Sheriff “) Israel from power. The Best Gun Control available is to #endgunfreeschoolzones ,-2,"Delray Beach, FL"
,-2,"Manhattan, NY"
"Aka ""useful idiots"" ",-2,"Boston, MA"
Today on #TheFive #JuanWilliams blasted the House bill on school safety exposing the left agenda as gun control not school safety. #KAG,-2,"Morgantown, WV"
"No, but I believe the 2nd Amendment allows the government to regulate gun ownership, including banning assault weapons ban. Do you, @jkeramaris, support #Assaultweaponsban? Yes or no, please. #nationalschoolwalkoutday  ",-2,"Boston, MA"
I may be the only one who feel this way (pause) but I don't believe it is a good idea for teachers to carry guns into the school. Speaking for myself. #BoycottTheNRA ,-2,"Humble, TX"
"I seen a video of some dude walking into a police station with a knife and the officer proceeded to talk to him, retrieved the knife and gave him a hug. They took the guy to a mental hospital and no guns were drawn. There’s always a to handle situation but all we know is force.. ",-2,"Kissimmee, FL"
"@KitkatTokyo Do you know what the NRA does? They promote gun safety, they don't sell them! Ppl kill ppl. If someone is going to kill ppl, they will find a way! Understand were all sick of the shootings, fight/help sick ppl, not my rights to own a gun! Thanks",-2,"Greeneville, TN"
@thedailybeast when will Congress learn guns are not meant to be in all hands anything could happen,-2,"Midland, WA"
"At lunch, we had the opportunity to sign a banner that would be sent to the students of #StonemanDouglas. We could also write letters or make phone calls to our elected officials to make a change to our gun laws. So that’s what happened today. #NationalWalkoutDay",-2,Notre Dame High School
@CARISSUHHHHHH @megan__minnich It's awesome to fight for what you believe in.  It's a shame that so many students confuse responsible gun ownership with increased gun laws that criminals still wouldn't follow.,-2,"Pennsylvania, USA"
#NationalWalkoutDay ,-2,"Texas, USA"
"The notion on “we need to ban guns” is stupid and anybody who can’t do their own research spews this liberal garbage out of their mouths. They blame the NRA, congress, and Trump and all they do is blame and complain. Not one kid has sat down and had a factual and logicalargument.",-2,"Medford, MA"
The 17 minutes were for the respect of those who lost their lives at Majory Stoneman Douglas. The point of walking out during class was to bring attention and push for gun control. #EnoughIsEnough ,-2,"New York, USA"
Allowing the placement of guns in classrooms with teachers is about as safe as placing comfort wolverines in I.C.U.s #drainthenra #ArmMeWith #antigun #GunContolNow,-2,"Seattle, WA"
"@MeghanMcCain when I watch View, &amp; not everyday, u tell the world ur a big 2nd Amendment person &amp; proud NRA member. We get it, u like ur guns. That’s not issue. Maybe u should spend more time learning what other side has issue w &amp; less time spouting Fox prop. #Listen&amp;Learn",-2,"Los Angeles, CA"
"@ArtWillard @losdrogas @CarriWeatherwax @TrumpGirlStrong You explain to me how in the hell Cruz was allowed to be walking around in the first place?
Do you not know about the dozens of calls to the sheriff?
Do you not know the FBI KNEW about this guy’s problems?
The system failed, not gun laws Libtard!",-2,"New Mexico, USA"
"Until we ban assault rifles and put in place firm gun laws, this is going to continue to become commonplace ",-2,"Louisville, OH"
You and me both. ,-2,"Chicago, IL"
And good for @SenSanders on this. ,-2,"Texas, USA"
"@drantbradley Back to my main point, which you skirted, maybe Christians or any pro-2A students did not participate in the walk-out because they knew that it was *largely* to advocate for gun control.

All I'm saying is that there's two sides to this story.",-2,"College Station, TX"
When will we love our children more than our guns? ,-2,"Louisville, OH"
"you’re an actual idiot, how are you even comparing cars and guns?? CARS ARE MADE TO DRIVE, GUNS ARE MADE TO KILL! YOU FUCKING IDIOT I HOPE YOU GET YOUR BITCH ASS GETS BEAT UP FOR WEARING THOSE DUMBASS SHIRTS ",-2,"Marana, AZ"
Dear Pennsylvania do you not realize this democrat is going to flip and gun rights will be gone. Don’t be fooled by a wolf in sheeps clothing.,-2,"Tennessee, USA"
Asked my HS son about the gun control walk out. He said it makes no sense. If someone wants to shoot up a school outlawing guns isn’t going to stop them. Murder is already illegal. It’s like protesting rape to convince rapist that rape is bad.,-2,"Seattle, WA"
Or you may be a Libtard. ,-2,"Delray Beach, FL"
.....and the children will lead us to a better/safer future. I support our determined &amp; vocal teenagers who walked out of school today demanding change on gun control! The NRA is a paranoid group!,-2,"Houston, TX"
@President1Trump @DougSides Whoopdidoo ! Ladida! Protest pharmaceutical companies that pump up kids with psych drugs that they don’t fully know the LONGTERM effects of and when those kids grows up to become SHOOTERS then they want to blame guns ! LEFTIST GLOBALIST PROPAGANDA !,-2,United States
I hope they research his voting history regarding guns when they get home. ,-2,"Queens, NY"
"@realDonaldTrump @dragonladydc Another piece of worthless legislation to appease the masses, throw money at the schools, counseling, violence education, blah, blah, blah. The real problem is Sickos do sick crap. And Dems will do anything for gun control",-2,"Arizona, USA"
"And after more students are massacred by gun violence it will be revealed that the elected idiots did absolutely nothing to protect anyone from weapons of death.

ThinkProgress: House lawmakers tackle gun violence by passing bill that doesn’t address guns. ",-2,"Davenport, FL"
@JakeHighwell @SiddonsDan I have said it since I was teen.  Gun control is gun registration so the government will know where to go to get them when they finally get there way,-2,"Middleburg-Clay Hill, FL"
"@PradRachael @rhash0329 Hey kids, this is what you’re supporting- The blunt truth: The end goal of demoncat gun control/confiscation is to have unimpeded Access to rape your children with impunity- sorry if you disagree- look at the track record 😡😡😡😡",-2,"Tulsa, OK"
Now that's exactly how you protest!!!! With action where it counts. Not with hashtags and Facebook rants!!!!  #StudentsStandUp #protests #Resistance #Wiah #Ghedee,-2,"Oakland, CA"
"I support this completely, but you should probably start with gun control. ",-2,"Chicago, IL"
Way to go Shaw!👍 ,-2,"Upper St Clair, PA"
@USAMilitaryUSA Everybody should have guns including the dog shooting this one... even better second amendment applies to everybody,-2,"Citrus Park, FL"
"2010: wanna skip class and smoke a bowl? 

Buddy: yeah, let’s get some Wendy’s on the way back. 

2018: Wanna skip class, bitch, accomplish nothing, and pretend we made a difference? 

The entire school: “F*** the NRA” “Gun control now”",-2,"North Carolina, USA"
Thank you for sharing the data ,-2,"New York, USA"
“d” should have gotten shot maybe ya opinion would be different 🤷🏽‍♀️ ,-2,"California, USA"
@realDonaldTrump NO GUNS IN SCHOOLS!!!! NO! #notmypresident #resign #resign #resign #resign #resign #resign #resign #resign #resign #resign #resign #resign #resign,-2,"Montgomery, GA"
"Instead of the story being that most students here are not obsessed with school shootings, let's focus on the one who is. ",-2,"Decatur, AL"
"@dtfootball33 @FoxNews ADULTS have the power in this country to change law (citizens &amp; legal residents). The question is r they ready to walk out of their jobs en masse for social change? 
PS The constitution protecting the ownership of firearms is LAW &amp; will not change. 🤷🏻‍♀️ What change?!!",-2,"Alexandria, VA"
"Fun fact: if this happened back when I was in High School I absolutely would have been sitting in an empty classroom, lecturing my notebook on the distinction between weapons and firearms. 

I was a fucking idiot until like, 6 years ago. ",-2,"Islandia, NY"
Lmao there’s been other gun control protests to stop violence in school and the streets ,-2,"Romeoville, IL"
@TrumpGirlStrong I mean seriously! They’re gross and obsessed with sex with guns. What’s that about?,-2,"Burbank, CA"
Bernie always got involved and actually stood up for what he believed. He marched with MLK for Civil Rights. He marched with kids against gun violence. He means what he says,-2,"Houston, TX"
Students took part in organizing the assembly...it was about us being a Trojan family and remembering the lives that were lost at Parkland and for all people who have been victims of school shootings...not everything has to be political. ,-2,"Troy, OH"
"@BillKristol @RadioFreeTom I think it safe to say that Lamb is a center candidate that appeals to both sides. He’s personally pro-life but supports the pro- choice law of the land. He wants gun control, but to start with mental health issues, etc. We need more candidates like this to flip the house. ",-2,"Stevens Point, WI"
Where’d the Bataclan Massacre occur?🤔 ,-2,"Prescott, AZ"
So many schools had walk outs today. I hope the government finally realizes that kids need to be protected not guns.,-2,"Pasadena, CA"
@NJSenatorBooker Dear Senator Booker The attached photo of the kids and guns is the opposition we face ,-2,"Queens, NY"
@StargazerBlake @SierraNMcCormic I have never made a claim that all gun owners are dangerous. I am claiming that stricter gun laws are needed to help solve the overwhelming gun violence problems in America. That is my claim.,-2,"Danville, VA"
We night to fight to increase the age of those who can buy guns. Trump lied for The cameras. ,-2,"Washington, DC"
We night to fight to increase the age of those who can buy guns. Trump lied for The cameras. ,-2,"Washington, DC"
"Well? A B or C?
.
.
.
.
#gunporn #fullauto #progun #guns #targets #weekend #outdoorshooting… ",-2,"Paradise, NV"
Yeah❗️. We need more guns in schools🤪 ,-2,"New York, USA"
"@haikujj @Magnan12 @a_very8 @jimmyfallon Wait, how did crazy people with guns turn into a trump conversation??",-2,"East Patchogue, NY"
@mike_Zollo I think they meant that the NRA lobbies to that more guns can be sold by manufacturers,-2,"Washington, DC"
"I recognized 3 students, Alyssa, Willa &amp; Christiana. Students R asking 4 3 common-sense solutions 2 prevent gun violence &amp; make our schools &amp; public spaces safe: 1) Background chks 4 all gun sales. 2) Ban bump stocks. 3) Counselors, not guns, in schools. #MarchForOurLives #AZLD2 ",-2,"Phoenix, AZ"
"@KayaJones Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
@realDonaldTrump We night to fight to increase the age of those who can buy guns. Trump lied for The cameras.,-2,"Washington, DC"
"To a psych ward or somewhere where he could have received help at a hospital. So quit saying to ban guns. As well as walking out on school because that’s just stupid, you’re walking out of school to promote gun laws but don’t look at how school security needs to be increased",-2,"Medford, MA"
Never going to happen! #2AShallNotBeInfringed #NRA #Constitution ,-2,"Ladera Ranch, CA"
"This gave me an insane scare today. My sister is a grad student at Northwestern. 

Just to feel for a split second the anxiety and fear that tons of people across our country have faced because of guns was terrifying. Fuck guns. Also fuck whoever’s responsible for this “hoax.” ",-2,"San Francisco, CA"
@grizzy_gage It doesn’t solve anything. How does walking out of school proteste against school shootings? If anything it put everyone who participated at a larger risk of getting hurt,-2,"Southfield, MI"
Exactly. @realDonaldTrump is political poison and so many candidates he supports wind up losing – even in red states. ,-2,"Norwood, MA"
"@SenSanders Why did you have ARMED guards?????🤔🤔🤔🤔🤔I guess you can have protection but we can’t. Really??if yow are going to scream no guns, then get rid of yours.",-2,"Blennerhassett, WV"
We night to fight to increase the age of those who can buy guns. Trump lied for The cameras. ,-2,"Washington, DC"
My brother and his friends showed up to school &amp; brought American flags with them to bring to the walk-out BUT the admins wouldn’t let them participate &amp; did nothing as they were flipped off by other kids. This isn’t a gun control issue it’s an issue with our society.,-2,"Wilsonville, OR"
"@Ken19512 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
"@BillOReilly Those two things aren’t mutually exclusive, Bill. You CAN have gun control without banning most guns.",-2,"McCandless, PA"
"@rubikees @eugenegu @MSMAGC So you believe the Founding Fathers would have said ""Follow this Constitution to the letter 250 years from now or your children will die."" Really believe that? Really believe they so lacked imagination that they believed the world &amp; its firearms would not have changed?",-2,"Indio, CA"
@CarlRayLouk @sharebear817 @capriotti97 @ChrisEvans @GOP This isn’t about god anyway. Back to your inability to admit no one wants to take your guns away.,-2,"Florida, USA"
May what we have done in schools across America today serve as a wake up call for gun control reform. The lives lost in Parkland will not be in vain.,-2,"Gretna, LA"
@tenthousandjoys @RyanAFournier The 2A was written to keep government in check.  Its to make sure that we have a way to protect ourselves against a tyrannical govt.  Stop trying to take guns away and look for real solutions like getting rid of gun free zones and allowing more qualified people to conceal carry.,-2,"California, USA"
"@StargazerBlake @SierraNMcCormic Basically what you are claiming is that we do not need stricter gun laws, because not all gun owners are dangerous. That is like saying that we do not need laws in general, because not all people are criminals.",-2,"Danville, VA"
"@lilgamer004 @MSGTShepherd @ConservGayGuy You’re right:

“GUNS” are not going into the schools and shooting random children.

Maniacs with mental health issues are picking up ‘inanimate objects’ &amp; killing random children.

It’s a #MentalHealth issue, not a gun issue. Without guns kids still kill.

",-2,"Portland, OR"
"@Kimbraov1 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
Taking guns away from law abiding citizens is passively insane ,-2,"North Carolina, USA"
Proud of my students! ,-2,"Manhattan, NY"
"@s4mbuc4 @rainas_world @RealSaavedra @PardesSeleh Not at all. I own guns. I conceal carry everywhere it is legal. I believe in the Second Amendment, reasonably interpreted. And I believe today’s NRA is a pernicious influence in American culture and politics.",-2,"Destin, FL"
"@gujuforce @DLoesch You tell that crap to my cousin who buried his son last month. 24 yr old felon blew a 19 yr old’s head off with a STOLEN gun. Illegal, you listening 👂🏻 Criminals will get guns, or knives or bomb making crap. #2A",-2,"Arkansas, USA"
I watched a documentary series about shootings and this dad was in the one on columbine. He told the filmmakers he still wears his son’s shoes every day. This gave me chills. ,-2,"Washington, UT"
"@RVA_dave @CNN Strictest gun laws are in cities with the highest rates of gun violence, passing more laws and pointing fingers at GOP doesn’t fix the issue, I’ve owned guns my whole life and served in the military and have no desire to hurt anyone, peoples state of mind is the issue",-2,"Land O' Lakes, FL"
@ZenMonken @davidharsanyi @RageOnThePage So we should take guns away from cops right?,-2,"Florida, USA"
@HWirjosandjojo @Salon Replicate gun laws that already exist? No. Here's a quote from CNN. That stronger system of background checks? Enforcement of current law. ,-2,"Burke, VA"
"Where in my tweet did I bring up politics? My tweet was not political, I was simply stating MY opinion. The purpose of a walkout is for the students to use THEIR voices, not be conducted by a school administrator. ",-2,"Troy, OH"
"@SenSanders Why did you have ARMED guards?????🤔🤔🤔🤔🤔I guess you can have protection but we can’t. Really??if you are going to scream no guns, then get rid of yours.",-2,"Blennerhassett, WV"
@realDonaldTrump Get rid of the assault weapons public purchase altogether. Guns meant to tear multiple bodies to shreds aren’t needed in society The teenage brain is incapable of comprehending the consequences of murder. The frontal lobe where rational thoughts form is not mature until 25 years.,-2,"Vermont, USA"
@dailykos Not if the students have their way! I stand with the students! We need sensible gun control! Cheap shot!,-2,"Sioux Falls, SD"
Conor Lamb’s victory over that horrible reactionary troll in PA-18 gives me hope for the future of our Country. ,-2,"Florida, USA"
"@ND_BravesFAN @itsapanda_ My son’s high school had a walkout today...and we are  in the middle of the swamps and bayous where everybody hunts so they all own guns, including a lot of the teens. I’m glad they realize what it’s really about...",-2,"Luling, LA"
We night to fight to increase the age of those who can buy guns. Trump lied for The cameras.  Rubio is a fool. ,-2,"Washington, DC"
"March 14, 2018 #365daysofrespect goes out to everyone who plays a role in creating safe environments for our children to learn and play. Let’s ask ourselves individually, what can we do to be a part of the solution? #twtrfam #guns #children #nationalwalkoutday #change ",-2,"Honolulu, HI"
"I support gun control, not gun banning. I don’t want people to not have guns, I want people to have more regulations when getting a gun.  Im not saying take everyone’s guns away #guns #GunControl #GunSafety #regulations #walkout",-2,"Cheyenne, WY"
@Acosta Rubio getting veeeerrrrryyy creative in his attempts to avoid talking about gun control.,-2,"Portsmouth, RI"
"Kids are dying daily because the #nra is constantly not controlling guns. When a child can’t handle the toy, be an adult and take it away from them. NRA, you’re acting like an infant. #BoycottTheNRA #nationalwalkout ",-2,"Quincy, MA"
100 F%%%%%%% ,-2,"Glendora, CA"
@RepMcSally I am a teacher and kids want a safe place/-no guns.   Don’t have a place in classrooms.,-2,"Arizona, USA"
Perfect example of why we shouldnt encourage children to blindly protest. People like this who have absolutely no clue. ,-2,"West Allis, WI"
